tid,pref_name,accession,organism,chembl_id,standard_value,standard_units,standard_type,chembl_id,smiles_processed
96,Cyclooxygenase-1,P23219,Homo_sapiens,CHEMBL221,1070,nM,IC50,CHEMBL17047,CS(=O)(=O)C1C=CC(C2N=C(SC=2C2C=CC(F)=CC=2)C(F)(F)F)=CC=1
96,Cyclooxygenase-1,P23219,Homo_sapiens,CHEMBL221,19000,nM,IC50,CHEMBL275601,CCC1SC(=C(N=1)C1C=CC(F)=CC=1)C1C=CC(S(=O)(=O)C)=CC=1
96,Cyclooxygenase-1,P23219,Homo_sapiens,CHEMBL221,74,nM,IC50,CHEMBL150130,CCC1C=C(C(=O)C2C=CC=CC=2)C=C(C=1)C=CC(O)=N
96,Cyclooxygenase-1,P23219,Homo_sapiens,CHEMBL221,2,nM,IC50,CHEMBL571,CC(C(O)=O)C1=CC(C(=O)C2C=CC=CC=2)=CC=C1
96,Cyclooxygenase-1,P23219,Homo_sapiens,CHEMBL221,18000,nM,IC50,CHEMBL151128,CCC1C=C(C(=O)C2C=CC=CC=2)C=C(C=1)C=CS(=O)(=O)N
96,Cyclooxygenase-1,P23219,Homo_sapiens,CHEMBL221,5400,nM,IC50,CHEMBL151535,C1C=CC(C(=O)C2C=C(CO)C=C(C=2)C=CS(=O)(=O)N)=CC=1
96,Cyclooxygenase-1,P23219,Homo_sapiens,CHEMBL221,1880,nM,IC50,CHEMBL118,CC1C=CC(C2N(N=C(C(F)(F)F)C=2)C2C=CC(S(=O)(=O)N)=CC=2)=CC=1
96,Cyclooxygenase-1,P23219,Homo_sapiens,CHEMBL221,200,nM,IC50,CHEMBL147189,CCC1=C(C(=O)C2C=CC=CC=2)C=C(C=CS(=O)(=O)N)C=C1
96,Cyclooxygenase-1,P23219,Homo_sapiens,CHEMBL221,3600,nM,IC50,CHEMBL356596,CC(=CC1=CC(C(=O)C2C=CC=CC=2)=CC(=C1)C=CS(=O)(=O)N)C
96,Cyclooxygenase-1,P23219,Homo_sapiens,CHEMBL221,6400,nM,IC50,CHEMBL150773,CC(=O)C1=CC(C(=O)C2C=CC=CC=2)=CC(=C1)C=CS(=O)(=O)N
96,Cyclooxygenase-1,P23219,Homo_sapiens,CHEMBL221,1700,nM,IC50,CHEMBL151710,C1C=CC(C(=O)C2C=C(C#N)C=C(C=2)C=CS(=O)(=O)N)=CC=1
96,Cyclooxygenase-1,P23219,Homo_sapiens,CHEMBL221,6300,nM,IC50,CHEMBL358210,CCC1C(C=CS(=O)(=O)N)=CC=C(C(=O)C2C=CC=CC=2)C=1
96,Cyclooxygenase-1,P23219,Homo_sapiens,CHEMBL221,59,nM,IC50,CHEMBL42485,CS(=O)(=O)C1C=CC(C2=C(SC(Br)=C2)C2C=CC(F)=CC=2)=CC=1
96,Cyclooxygenase-1,P23219,Homo_sapiens,CHEMBL221,18,nM,IC50,CHEMBL6,CC1N(C(=O)C2C=CC(Cl)=CC=2)C2=C(C=1CC(O)=O)C=C(OC)C=C2
96,Cyclooxygenase-1,P23219,Homo_sapiens,CHEMBL221,320,nM,IC50,CHEMBL359143,CSC1C=CC(C2N3C(SC=C3)=NC=2C2C=CC=CC=2)=CC=1
96,Cyclooxygenase-1,P23219,Homo_sapiens,CHEMBL221,78,nM,IC50,CHEMBL148666,CSC1C=CC(C2N=C3SC=CN3C=2C2C=CC=CC=2)=CC=1
96,Cyclooxygenase-1,P23219,Homo_sapiens,CHEMBL221,1130,nM,IC50,CHEMBL76692,COC1=C(F)C=C(C2=C(OC3C2=CC=CC=3)C2C=CC(S(=O)(=O)N)=CC=2)C=C1
96,Cyclooxygenase-1,P23219,Homo_sapiens,CHEMBL221,5740,nM,IC50,CHEMBL76861,COC1=C(Cl)C=C(C2=C(OC3C2=CC=CC=3)C2C=CC(S(=O)(=O)N)=CC=2)C=C1
96,Cyclooxygenase-1,P23219,Homo_sapiens,CHEMBL221,490,nM,IC50,CHEMBL77714,C1C=C2C(=C(OC2=CC=1)C1C=CC(S(=O)(=O)N)=CC=1)C1C=CC(F)=CC=1
96,Cyclooxygenase-1,P23219,Homo_sapiens,CHEMBL221,7,nM,IC50,CHEMBL80405,C1C=C2C(C(=C(C3C=CC(S(=O)(=O)N)=CC=3)C2)C2C=CC(F)=CC=2)=CC=1
96,Cyclooxygenase-1,P23219,Homo_sapiens,CHEMBL221,300,nM,IC50,CHEMBL325804,CC1(OC(=O)C(OC2C=CC(Cl)=CC=2)=C1C1C=CC(S(=O)(=O)C)=CC=1)C
96,Cyclooxygenase-1,P23219,Homo_sapiens,CHEMBL221,1000,nM,IC50,CHEMBL322132,CC1(OC(=O)C(OC2C=C(F)C=CC=2)=C1C1C=CC(S(=O)(=O)C)=CC=1)C
96,Cyclooxygenase-1,P23219,Homo_sapiens,CHEMBL221,1000,nM,IC50,CHEMBL106302,CC1(OC(=O)C(OC2C=C(F)C=C(F)C=2)=C1C1C=CC(S(=O)(=O)C)=CC=1)C
96,Cyclooxygenase-1,P23219,Homo_sapiens,CHEMBL221,50,nM,IC50,CHEMBL118,CC1C=CC(C2N(N=C(C(F)(F)F)C=2)C2C=CC(S(=O)(=O)N)=CC=2)=CC=1
96,Cyclooxygenase-1,P23219,Homo_sapiens,CHEMBL221,14000,nM,IC50,CHEMBL321217,CC1(OC(=O)C(=C1C1C=CC(S(=O)(=O)C)=CC=1)C1=CC(F)=CC=C1)C
96,Cyclooxygenase-1,P23219,Homo_sapiens,CHEMBL221,1000,nM,IC50,CHEMBL110401,CC1(OC(=O)C(OC2=CC(F)=C(F)C=C2)=C1C1C=CC(S(=O)(=O)C)=CC=1)C
96,Cyclooxygenase-1,P23219,Homo_sapiens,CHEMBL221,2000,nM,IC50,CHEMBL122,CS(=O)(=O)C1C=CC(C2=C(C(OC2)=O)C2C=CC=CC=2)=CC=1
96,Cyclooxygenase-1,P23219,Homo_sapiens,CHEMBL221,200,nM,IC50,CHEMBL6,CC1N(C(=O)C2C=CC(Cl)=CC=2)C2=C(C=1CC(O)=O)C=C(OC)C=C2
96,Cyclooxygenase-1,P23219,Homo_sapiens,CHEMBL221,300,nM,IC50,CHEMBL110392,CC1=CC(OC2C(OC(C=2C2C=CC(S(=O)(=O)C)=CC=2)(C)C)=O)=CC=C1
96,Cyclooxygenase-1,P23219,Homo_sapiens,CHEMBL221,3000,nM,IC50,CHEMBL109177,CC1(OC(=O)C(OC2C=CC=CC=2)=C1C1C=CC(S(=O)(=O)C)=CC=1)C
96,Cyclooxygenase-1,P23219,Homo_sapiens,CHEMBL221,1800,nM,IC50,CHEMBL325804,CC1(OC(=O)C(OC2C=CC(Cl)=CC=2)=C1C1C=CC(S(=O)(=O)C)=CC=1)C
96,Cyclooxygenase-1,P23219,Homo_sapiens,CHEMBL221,23100,nM,IC50,CHEMBL322132,CC1(OC(=O)C(OC2C=C(F)C=CC=2)=C1C1C=CC(S(=O)(=O)C)=CC=1)C
96,Cyclooxygenase-1,P23219,Homo_sapiens,CHEMBL221,10000,nM,IC50,CHEMBL106302,CC1(OC(=O)C(OC2C=C(F)C=C(F)C=2)=C1C1C=CC(S(=O)(=O)C)=CC=1)C
96,Cyclooxygenase-1,P23219,Homo_sapiens,CHEMBL221,6300,nM,IC50,CHEMBL118,CC1C=CC(C2N(N=C(C(F)(F)F)C=2)C2C=CC(S(=O)(=O)N)=CC=2)=CC=1
96,Cyclooxygenase-1,P23219,Homo_sapiens,CHEMBL221,7900,nM,IC50,CHEMBL110401,CC1(OC(=O)C(OC2=CC(F)=C(F)C=C2)=C1C1C=CC(S(=O)(=O)C)=CC=1)C
96,Cyclooxygenase-1,P23219,Homo_sapiens,CHEMBL221,3600,nM,IC50,CHEMBL324876,CC1(OC(=O)C(OC2C=CC(F)=CC=2)=C1C1C=CC(S(=O)(=O)C)=CC=1)C
96,Cyclooxygenase-1,P23219,Homo_sapiens,CHEMBL221,19000,nM,IC50,CHEMBL122,CS(=O)(=O)C1C=CC(C2=C(C(OC2)=O)C2C=CC=CC=2)=CC=1
96,Cyclooxygenase-1,P23219,Homo_sapiens,CHEMBL221,58000,nM,IC50,CHEMBL324670,CC1(OC(=O)C(SC2C=CC=CC=2)=C1C1C=CC(S(=O)(=O)C)=CC=1)C
96,Cyclooxygenase-1,P23219,Homo_sapiens,CHEMBL221,3200,nM,IC50,CHEMBL110392,CC1=CC(OC2C(OC(C=2C2C=CC(S(=O)(=O)C)=CC=2)(C)C)=O)=CC=C1
96,Cyclooxygenase-1,P23219,Homo_sapiens,CHEMBL221,18,nM,IC50,CHEMBL6,CC1N(C(=O)C2C=CC(Cl)=CC=2)C2=C(C=1CC(O)=O)C=C(OC)C=C2
96,Cyclooxygenase-1,P23219,Homo_sapiens,CHEMBL221,25000,nM,IC50,CHEMBL148976,CS(=O)(=O)C1C=CC(C2N3C(SC=C3)=NC=2C2C=CC(F)=CC=2)=CC=1
96,Cyclooxygenase-1,P23219,Homo_sapiens,CHEMBL221,1300,nM,IC50,CHEMBL303688,C1=C(C2SC=CC=2C2C=CC(S(=O)(=O)N)=CC=2)C=CC(F)=C1
96,Cyclooxygenase-1,P23219,Homo_sapiens,CHEMBL221,17000,nM,IC50,CHEMBL303036,COC(=O)C1C=CC(C2=C(SC=C2)C2C=CC(F)=CC=2)=CC=1
96,Cyclooxygenase-1,P23219,Homo_sapiens,CHEMBL221,5400,nM,IC50,CHEMBL308682,CC(O)(C1SC(=C(C2C=CC(S(=O)(=O)N)=CC=2)C=1)C1C=CC(F)=CC=1)C
96,Cyclooxygenase-1,P23219,Homo_sapiens,CHEMBL221,3200,nM,IC50,CHEMBL66630,C1=C(C2=C(SC=C2)C2C=CC(F)=CC=2)C=CC(C(=O)N)=C1
96,Cyclooxygenase-1,P23219,Homo_sapiens,CHEMBL221,210,nM,IC50,CHEMBL294050,C1=C(C#N)C=CC(C2=C(SC=C2)C2C=CC(F)=CC=2)=C1
96,Cyclooxygenase-1,P23219,Homo_sapiens,CHEMBL221,340,nM,IC50,CHEMBL63286,CSC1C=CC(C2=C(SC=C2)C2C=CC(F)=CC=2)=CC=1
96,Cyclooxygenase-1,P23219,Homo_sapiens,CHEMBL221,1100,nM,IC50,CHEMBL65155,CS(=O)(=O)C1C=CC(C2SC(Br)=CC=2C2C=CC(F)=CC=2)=CC=1
96,Cyclooxygenase-1,P23219,Homo_sapiens,CHEMBL221,230,nM,IC50,CHEMBL417204,CC(C1SC(=C(C2C=CC(S(=O)(=O)N)=CC=2)C=1)C1C=CC(F)=CC=1)C
96,Cyclooxygenase-1,P23219,Homo_sapiens,CHEMBL221,1000,nM,IC50,CHEMBL303870,COC(=O)C1SC(=C(C2C=CC(S(=O)(=O)N)=CC=2)C=1)C1C=CC(F)=CC=1
